,cords
164,"(39.7726132, -86.2051872, 0.0)"
165,"(39.7726132, -86.2051872, 0.0)"
166,"(39.7726132, -86.2051872, 0.0)"
167,"(39.7726132, -86.2051872, 0.0)"
168,"(39.6929873, -86.1865612, 0.0)"
169,"(39.7680595, -86.1527215, 0.0)"
170,"(39.765766, -86.160099, 0.0)"
171,"(39.923834, -86.06507968173611, 0.0)"
172,"(39.923834, -86.06507968173611, 0.0)"
173,"(39.923834, -86.06507968173611, 0.0)"
174,"(39.923834, -86.06507968173611, 0.0)"
175,"(39.815627, -86.159226, 0.0)"
176,"(39.815627, -86.159226, 0.0)"
177,"(39.80332416326531, -86.12373159183674, 0.0)"
178,"(39.8089693, -86.1180108, 0.0)"
179,"(39.773729, -86.13053730769231, 0.0)"
180,"(39.72797395255175, -86.06074017796618, 0.0)"
181,"(39.6929873, -86.1865612, 0.0)"
182,"(39.909494, -86.1061934, 0.0)"
183,"(39.909494, -86.1061934, 0.0)"
184,"(39.8191114137931, -86.001951, 0.0)"
185,"(39.8191114137931, -86.001951, 0.0)"
186,"(39.8191114137931, -86.001951, 0.0)"
187,"(39.7289888, -86.15361, 0.0)"
188,"(39.7289888, -86.15361, 0.0)"
189,"(39.7739089, -86.0084202, 0.0)"
190,"(39.7739089, -86.0084202, 0.0)"
191,"(39.7739089, -86.0084202, 0.0)"
192,"(39.7739089, -86.0084202, 0.0)"
193,"(39.761622200000005, -86.1587695638335, 0.0)"
194,"(39.761622200000005, -86.1587695638335, 0.0)"
195,"(39.79759668254791, -85.99574072783508, 0.0)"
196,"(39.79759668254791, -85.99574072783508, 0.0)"
197,"(39.72797395255175, -86.06074017796618, 0.0)"
198,"(39.72797395255175, -86.06074017796618, 0.0)"
199,"(39.815776, -86.06479118367348, 0.0)"
200,"(39.815776, -86.06479118367348, 0.0)"
201,"(39.76400075, -86.15872586076406, 0.0)"
202,"(39.824057050505054, -86.01000326262627, 0.0)"
203,"(39.83293055263141, -86.02681521049918, 0.0)"
204,"(39.78262743635223, -86.18927621490946, 0.0)"
205,"(39.78262743635223, -86.18927621490946, 0.0)"
206,"(39.78262743635223, -86.18927621490946, 0.0)"
207,"(39.78262743635223, -86.18927621490946, 0.0)"
208,"(39.78262743635223, -86.18927621490946, 0.0)"
209,"(39.78262743635223, -86.18927621490946, 0.0)"
210,"(39.78262743635223, -86.18927621490946, 0.0)"
211,"(39.78262743635223, -86.18927621490946, 0.0)"
212,"(39.6929325, -86.1578815, 0.0)"
213,"(39.750869, -86.196843, 0.0)"
214,"(39.750869, -86.196843, 0.0)"
215,"(39.750869, -86.196843, 0.0)"
216,"(39.750869, -86.196843, 0.0)"
217,"(39.750869, -86.196843, 0.0)"
218,"(39.769427, -86.161736, 0.0)"
219,"(39.7680595, -86.1527215, 0.0)"
220,"(39.816284, -86.271732, 0.0)"
221,"(39.82833566148197, -86.01151733828581, 0.0)"
222,"(39.89216448666427, -86.04351672999641, 0.0)"
223,"(39.89216448666427, -86.04351672999641, 0.0)"
224,"(39.769038153061224, -86.15993875510205, 0.0)"
225,"(39.77679719191919, -86.2074594040404, 0.0)"
226,"(39.77679719191919, -86.2074594040404, 0.0)"
227,"(39.790202, -86.27051649418604, 0.0)"
228,"(39.7299151, -86.3248449, 0.0)"
229,"(39.7299151, -86.3248449, 0.0)"
230,"(39.7299151, -86.3248449, 0.0)"
231,"(39.7299151, -86.3248449, 0.0)"
232,"(39.79759668254791, -85.99574072783508, 0.0)"
233,"(39.7866381, -86.1573359, 0.0)"
234,"(39.7866381, -86.1573359, 0.0)"
235,"(39.7866381, -86.1573359, 0.0)"
236,"(39.75401597914319, -86.12700516759303, 0.0)"
237,"(39.77234584848485, -86.10087436363636, 0.0)"
238,"(39.77234584848485, -86.10087436363636, 0.0)"
239,"(39.77234584848485, -86.10087436363636, 0.0)"
240,"(39.7726132, -86.2051872, 0.0)"
241,"(39.7726132, -86.2051872, 0.0)"
242,"(39.815627, -86.159226, 0.0)"
243,"(39.815627, -86.159226, 0.0)"
244,"(39.7656761, -86.15934391363386, 0.0)"
245,"(39.7656761, -86.15934391363386, 0.0)"
246,"(39.70147063636364, -86.08273918181818, 0.0)"
247,"(39.70147063636364, -86.08273918181818, 0.0)"
248,"(39.7866381, -86.1573359, 0.0)"
249,"(39.7866381, -86.1573359, 0.0)"
250,"(39.7866381, -86.1573359, 0.0)"
251,"(39.81800854732013, -86.24964159586793, 0.0)"
252,"(39.821595, -86.094476, 0.0)"
253,"(39.821595, -86.094476, 0.0)"
